YearMonth,Other,China Only,US Only,US-China Collaboration,US-Non China,China-Non US
2010-12,0.59999999987,0.10000000002000001,0.249999999975,4.9999999985e-11,0.050000000035000006,4.9999999985e-11
2011-01,0.6666666665416666,0.08333333335416666,0.08333333335416666,4.166666665625e-11,0.16666666666666666,4.166666665625e-11
2011-02,0.722222222037037,0.11111111112962962,0.16666666666666666,5.555555553703704e-11,5.555555553703704e-11,5.555555553703704e-11
2011-03,0.7142857141683674,0.10714285715561224,0.1428571428622449,0.03571428574234694,3.571428570663265e-11,3.571428570663265e-11
2011-04,0.49999999993333333,0.06666666668666667,0.2999999999733333,0.10000000001333334,0.03333333336,3.3333333326666666e-11
2011-05,0.79999999981,4.9999999985e-11,0.19999999999,4.9999999985e-11,4.9999999985e-11,4.9999999985e-11
2011-06,0.7333333331066666,6.666666664000001e-11,0.26666666662666666,6.666666664000001e-11,6.666666664000001e-11,6.666666664000001e-11
2011-07,0.749999999825,0.10000000002000001,0.150000000005,4.9999999985e-11,4.9999999985e-11,4.9999999985e-11
2011-08,0.8181818178264463,9.090909085950413e-11,0.09090909095041323,0.09090909095041323,9.090909085950413e-11,9.090909085950413e-11
2011-09,0.6923076921863905,0.07692307694378699,0.23076923075443787,3.8461538452662723e-11,3.8461538452662723e-11,3.8461538452662723e-11
2011-10,0.5454545453512396,0.09090909092975206,0.2727272726983471,4.5454545442148764e-11,0.09090909092975206,4.5454545442148764e-11
2011-11,0.8260869563497164,0.08695652175992438,0.04347826090170132,4.3478260858223065e-11,0.04347826090170132,4.3478260858223065e-11
2011-12,0.7727272725619835,0.09090909092975206,0.13636363637190083,4.5454545442148764e-11,4.5454545442148764e-11,4.5454545442148764e-11
2012-01,0.5789473682908587,0.0526315789833795,0.2631578947063712,5.2631578930747926e-11,0.10526315791412742,5.2631578930747926e-11
2012-02,0.6666666665,0.16666666666666666,0.11111111112962962,5.555555553703704e-11,0.05555555559259259,5.555555553703704e-11
2012-03,0.59999999987,0.10000000002000001,0.150000000005,4.9999999985e-11,0.10000000002000001,0.050000000035000006
2012-04,0.6315789472216067,0.10526315791412742,0.15789473684487534,0.0526315789833795,0.0526315789833795,5.2631578930747926e-11
2012-05,0.7058823527508651,5.882352939100347e-11,0.11764705884083045,0.058823529449826994,0.11764705884083045,5.882352939100347e-11
2012-06,0.5263157893601108,0.0526315789833795,0.3157894736371191,0.0526315789833795,0.0526315789833795,5.2631578930747926e-11
2012-07,0.7058823527508651,5.882352939100347e-11,0.2941176470138408,5.882352939100347e-11,5.882352939100347e-11,5.882352939100347e-11
2012-08,0.6842105261523546,5.2631578930747926e-11,0.3157894736371191,5.2631578930747926e-11,5.2631578930747926e-11,5.2631578930747926e-11
2012-09,0.5714285713129251,0.23809523807482993,0.14285714286394557,4.761904760544218e-11,0.04761904765306123,4.761904760544218e-11
2012-10,0.521739130342155,0.13043478261814745,0.34782608690926275,4.3478260858223065e-11,4.3478260858223065e-11,4.3478260858223065e-11
2012-11,0.5263157893601108,0.15789473684487534,0.2631578947063712,5.2631578930747926e-11,0.0526315789833795,5.2631578930747926e-11
2012-12,0.6666666665,0.16666666666666666,0.11111111112962962,5.555555553703704e-11,0.05555555559259259,5.555555553703704e-11
2013-01,0.5384615383757396,0.03846153849112426,0.23076923075443787,0.03846153849112426,0.15384615384911243,3.8461538452662723e-11
2013-02,0.4782608694839319,0.17391304347637052,0.2608695651928166,0.04347826090170132,0.04347826090170132,4.3478260858223065e-11
2013-03,0.35483870964099895,0.19354838709157127,0.35483870964099895,0.032258064542143604,0.032258064542143604,0.032258064542143604
2013-04,0.4444444443518518,0.16666666666666666,0.11111111112962962,0.2222222222037037,0.05555555559259259,5.555555553703704e-11
2013-05,0.5714285713129251,4.761904760544218e-11,0.3333333332857143,0.04761904765306123,0.04761904765306123,4.761904760544218e-11
2013-06,0.4999999999230769,0.1153846153964497,0.23076923075443787,3.8461538452662723e-11,0.15384615384911243,3.8461538452662723e-11
